"Course Career","Term","Course Type","Code","Description","Sect","Status","Meeting Type","Start Date","End Date","Day(s)","Start Time","End Time","Venue","Instructor(s)"
"Undergraduate","2020-21 Term 2","COURSE","LAW205","Corporate Law","G1","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Mon","08:15","11:30","SOL-3.02-SR","PEARLIE KOH MING CHOO"
"Undergraduate","2020-21 Term 2","COURSE","LAW205","Corporate Law","G1","Enrolled","EXAM","20-Apr-2021","20-Apr-2021","Tue","13:00","16:00","",""
"Undergraduate","2020-21 Term 2","COURSE","LAW204","Constitutional & Admin Law","G2","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Tue","15:30","18:45","SOL-3.02-SR","EUGENE TAN KHENG BOON"
"Undergraduate","2020-21 Term 2","COURSE","LAW204","Constitutional & Admin Law","G2","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Thu","17:15","18:45","SOL-3.02-SR","EUGENE TAN KHENG BOON"
"Undergraduate","2020-21 Term 2","COURSE","LAW204","Constitutional & Admin Law","G2","Enrolled","EXAM","28-Apr-2021","28-Apr-2021","Wed","13:00","16:00","",""
"Undergraduate","2020-21 Term 2","COURSE","COR-STAT1202","Introductory Statistics","G4","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Thu","08:15","11:30","SOE/SOSS Seminar Rm 3-8","WU ZHENGXIAO"
"Undergraduate","2020-21 Term 2","COURSE","COR-STAT1202","Introductory Statistics","G4","Enrolled","EXAM","23-Apr-2021","23-Apr-2021","Fri","14:30","16:30","",""
"Undergraduate","2020-21 Term 2","COURSE","COR2201","Technology and World Change","G9","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Mon","12:00","15:15","SOL-3.09-SR","ELIZABETH SU"
"Undergraduate","2020-21 Term 2","COURSE","COR2201","Technology and World Change","G9","Enrolled","EXAM","19-Apr-2021","19-Apr-2021","Mon","13:00","15:00","",""
"Undergraduate","2020-21 Term 2","COURSE","COR1701","Critical Thinkg in Real World","G9","Enrolled","CLASS","11-Jan-2021","18-Apr-2021","Tue","08:15","11:30","SOE/SOSS Seminar Rm 3-10","TAN YOO GUAN"
